number,time_in_system_days
31525,1.8146296296296296
31524,39.65840277777778
31521,0.6982523148148149
31520,0.6976273148148148
31519,4.192002314814815
31515,0.7815740740740741
31513,0.868125
31512,2.175011574074074
31511,2.3921064814814814
31510,2.1877199074074074
31509,2.2003587962962965
31508,2.201828703703704
31506,2.2060185185185186
31502,4.003530092592593
31500,0.0485879629629629
31496,0.0968171296296296
31494,0.0654050925925926
31493,0.0673611111111111
31490,0.0272453703703703
31486,0.0654861111111111
31485,2.544907407407408
31484,1.2245601851851853
31483,1.6047569444444445
31482,2.3753819444444444
31481,0.0809259259259259
31480,0.3194444444444444
31477,4.8653356481481485
31475,3.994907407407408
31473,0.2206597222222222
31472,36.981828703703705
31468,0.3721759259259259
31462,0.4455787037037037
31461,0.6310416666666666
31458,0.8575810185185185
31456,2.0052777777777777
31451,10.816944444444443
31443,0.0764814814814814
31442,0.0767708333333333
31440,3.739375
31438,0.2538657407407407
31437,1.5123842592592591
31436,0.7503703703703704
31435,52.87354166666667
31433,1.1939930555555556
31432,0.0001388888888888
31431,0.0203356481481481
31430,0.0249768518518518
31429,0.0240393518518518
31428,0.0197337962962962
31427,1.3186111111111112
31426,1.3721527777777778
31425,3.1780671296296297
31424,0.031261574074074
31423,0.0633101851851851
31421,0.0417013888888888
31419,0.0200694444444444
31416,11.357708333333331
31412,1.9548842592592592
31411,0.4842592592592593
31409,4.858981481481481
31408,2.619826388888889
31406,5.042581018518519
31405,0.0435185185185185
31404,0.8499537037037037
31403,0.0565972222222222
31402,2.310625
31401,5.143032407407407
31399,6.526157407407408
31397,2.4035532407407407
31395,0.3565162037037037
31394,0.0683449074074074
31393,0.0213425925925925
31392,0.0498726851851851
31390,0.0310185185185185
31388,2.697013888888889
31387,2.764247685185185
31386,3.0548842592592598
31384,68.01274305555556
31383,6.258344907407407
31382,0.1656481481481481
31380,5.5778125
31378,0.3462731481481481
31376,0.6915393518518519
31375,0.0440972222222222
31374,0.0450231481481481
31373,0.0487268518518518
31371,0.1694560185185185
31367,3.3022569444444443
31366,0.2673148148148148
31365,3.3299652777777777
31363,0.2815625
31362,0.2404861111111111
31361,1.0358564814814817
31360,0.0291898148148148
31359,2.033425925925926
31358,0.3177546296296296
31353,0.4565972222222222
31352,16.00337962962963
31350,43.196921296296296
31349,3.832233796296297
31348,3.833530092592593
31347,3.835752314814815
31346,3.836493055555556
31343,6.329166666666667
31341,0.0785300925925926
31337,0.3029050925925926
31335,13.507581018518518
31333,13.53332175925926
31331,104.74888888888889
31329,4.349525462962963
31323,1.1131481481481482
31321,4.981388888888889
31320,0.0637152777777777
31318,2.033368055555556
31317,0.0362384259259259
31316,0.0328009259259259
31315,14.683506944444444
31314,0.0765625
31312,17.902071759259258
31311,0.2840740740740741
31309,0.0205324074074074
31307,0.1503125
31304,0.8363541666666666
31301,0.5587847222222222
31300,0.5961111111111111
31297,29.713738425925925
31296,43.71515046296296
31294,1.1917476851851851
31292,0.8860416666666666
31290,3.3152546296296297
31288,6.426736111111111
31282,0.0399189814814814
31280,0.6050810185185185
31279,0.0302546296296296
31278,62.02548611111112
31277,0.1633680555555555
31275,0.0234722222222222
31271,1.7962037037037035
31268,1.4737037037037035
31267,0.0394097222222222
31266,0.0807754629629629
31265,0.0293981481481481
31263,0.223599537037037
31262,18.996365740740742
31261,0.0243634259259259
31260,0.8836805555555556
31258,0.1215393518518518
31257,0.1846527777777777
31255,0.0209606481481481
31254,0.0209143518518518
31249,0.3039467592592592
31247,33.48690972222222
31246,0.0465277777777777
31244,0.0350810185185185
31242,311.2213773148148
31241,0.8076041666666667
31240,0.1801851851851852
31238,4.971319444444444
31237,2.033900462962963
31232,0.536863425925926
31231,0.095011574074074
31230,0.5811342592592592
31229,0.0242708333333333
31228,0.6616319444444444
31226,0.7723032407407407
31224,0.6499421296296296
31221,0.0398148148148148
31217,0.0197569444444444
31215,0.0643402777777777
31211,0.5363541666666667
31209,0.2472106481481481
31207,11.70925925925926
31206,0.2854282407407407
31203,0.0870717592592592
31198,3.698171296296296
31196,2.57255787037037
31193,2.032349537037037
31192,0.2842824074074074
31191,57.346944444444446
31189,0.0613888888888888
31188,4.10619212962963
31187,1.7259027777777778
31183,2.110925925925926
31182,6.443935185185185
31181,2.335983796296296
31180,2.453993055555556
31179,1.6144097222222222
31172,4.557337962962963
31171,0.6649189814814814
31169,2.9673842592592594
31168,3.1331712962962963
31167,2.505659722222222
31166,0.4333796296296296
31165,2.389375
31164,0.0647916666666666
31163,3.0747569444444443
31162,0.0585300925925925
31161,0.2026504629629629
31159,3.1013888888888888
31156,27.83855324074074
31155,3.506805555555556
31152,0.0756828703703703
31150,8.961180555555556
31148,7.362650462962962
31147,0.2978819444444444
31146,1.0924305555555556
31145,3.8316435185185194
31144,3.8353703703703705
31143,0.6384606481481482
31138,3.556377314814815
31137,0.1255208333333333
31136,9.131400462962963
31134,0.9458912037037036
31133,1.2474074074074073
31130,19.65965277777778
31129,0.868275462962963
31128,1.7534837962962964
31126,5.288865740740741
31125,0.0769560185185185
31124,0.0645949074074074
31123,0.2580092592592592
31122,0.0709027777777777
31121,0.0333564814814814
31120,0.0200925925925925
31119,3.126701388888889
31115,0.4131597222222222
31114,49.91229166666667
31112,0.8794212962962963
31106,1.0032175925925926
31105,0.3488425925925926
31103,0.1873842592592592
31101,7.298935185185186
31100,1.3182407407407408
31099,0.141886574074074
31098,0.0952662037037037
31097,1.5396180555555556
31096,4.574247685185185
31095,3.4924305555555555
31094,0.6869675925925925
31093,1.6828935185185183
31091,0.0923842592592592
31089,1.6736689814814816
31088,3.9418171296296296
31085,0.0804050925925926
31084,0.1881597222222222
31083,0.1047685185185185
31081,0.0409953703703703
31079,7.413229166666666
31078,0.2454629629629629
31076,0.1220601851851851
31072,9.522905092592593
31071,9.568935185185186
31070,7.61087962962963
31066,20.561793981481483
31065,0.2288888888888889
31064,2.4746875
31062,0.2783333333333333
31060,27.575150462962963
31059,0.605925925925926
31058,4.773194444444444
31057,4.938182870370371
31056,0.4857986111111111
31055,2.7631597222222224
31053,4.719525462962963
31049,5.021446759259259
31047,1.8639699074074076
31046,1.3298379629629629
31045,0.731412037037037
31044,0.0307754629629629
31042,0.023125
31037,8.529710648148148
31036,8.740324074074074
31033,0.6399305555555556
31030,0.0517824074074074
31027,0.1000347222222222
31026,0.0431712962962963
31025,8.77369212962963
31024,0.0269791666666666
31023,0.1919560185185185
31022,0.1888888888888888
31021,0.1919097222222222
31020,0.1966203703703703
31019,0.0299189814814814
31018,0.2420833333333333
31017,7.731296296296296
31015,0.0379166666666666
31014,0.001724537037037
31013,0.2809143518518519
31012,0.0276041666666666
31011,0.0889814814814814
31009,0.0215972222222222
31008,4.028854166666667
31005,0.2560648148148148
31001,0.2877662037037037
31000,0.030787037037037
30998,6.201261574074074
30997,0.3916203703703704
30996,0.0324768518518518
30995,1.3943402777777778
30992,0.1925231481481481
30991,0.0310648148148148
30990,33.78658564814815
30987,0.0226967592592592
30983,0.0244675925925925
30982,73.805625
30981,0.0380324074074074
30980,0.7209837962962963
30979,0.1173842592592592
30978,4.204849537037037
30977,4.889143518518519
30976,0.7951967592592593
30973,0.1541319444444444
30972,0.1301388888888889
30971,4.96542824074074
30968,0.0488425925925925
30963,0.0494328703703703
30961,0.0349884259259259
30960,0.2976273148148148
30959,1.2005092592592592
30957,0.0466550925925925
30955,0.053136574074074
30952,0.2645138888888889
30951,0.3475462962962963
30950,5.650347222222222
