date,count
2020-12-21,18
2020-12-22,16
2020-12-23,17
2020-12-24,16
2020-12-25,6
2020-12-26,7
2020-12-27,19
2020-12-28,22
2020-12-29,14
2020-12-30,30
2020-12-31,20
